id,tanggal_transaksi,toko,produk
58,2023-12-16,Fresh Market Sekip,"Kerupuk Udang Mawar, Keripik Singkong Pedas"
59,2023-12-16,Fresh Market Ulu,"Sanjai Balado, Kerupuk Ikan"
60,2023-12-16,Indomart,"Kerupuk Jengkol, Ring, Makaroni"
61,2023-12-20,Farmers PTC,"Keripik Pisang, Stick Keju"
62,2023-12-20,Primo PI,"Kerupuk Ikan, Kerupuk Udang Melati"
63,2023-12-20,Hypermart PSX,"Makaroni, Kerupuk Seblak"
64,2023-12-24,Fresh Market Sekip,"Kerupuk Udang Melati, Keripik Singkong Asin"
65,2023-12-24,Fresh Market Ulu,"Keripik Untir-Untir, Sanjai Balado"
66,2023-12-24,Indomart,"Ring, Kerupuk Jengkol"
67,2023-12-28,Farmers PTC,"Kerupuk Udang Mawar, Stick Keju"
68,2023-12-28,Primo PI,"Keripik Pisang, Makaroni"
69,2023-12-28,Hypermart PSX,"Kerupuk Seblak, Keripik Singkong Pedas"
70,2024-01-01,Farmers PTC,"Kerupuk Udang Melati, Keripik Pisang"
71,2024-01-01,Primo PI,"Kerupuk Jengkol, Stick Keju"
72,2024-01-01,Hypermart PSX,"Keripik Singkong Pedas, Kerupuk Ikan"
73,2024-01-05,Fresh Market Sekip,"Kerupuk Udang Mawar, Makaroni"
74,2024-01-05,Fresh Market Ulu,"Keripik Untir-Untir, Sanjai Balado"
75,2024-01-05,Indomart,"Makaroni, Ring"
76,2024-01-09,Farmers PTC,"Keripik Pisang, Stick Keju"
77,2024-01-09,Primo PI,"Kerupuk Seblak, Kerupuk Udang Melati"
78,2024-01-09,Hypermart PSX,"Makaroni, Keripik Singkong Asin"
79,2024-01-13,Fresh Market Sekip,"Kerupuk Udang Mawar, Keripik Singkong Pedas"
80,2024-01-13,Fresh Market Ulu,"Sanjai Balado, Kerupuk Ikan"
81,2024-01-13,Indomart,"Kerupuk Jengkol, Ring, Makaroni"
82,2024-01-17,Farmers PTC,"Keripik Pisang, Stick Keju"
83,2024-01-17,Primo PI,"Kerupuk Ikan, Kerupuk Udang Melati"
84,2024-01-17,Hypermart PSX,"Makaroni, Kerupuk Seblak"
85,2024-01-21,Fresh Market Sekip,"Kerupuk Udang Melati, Keripik Singkong Asin"
86,2024-01-21,Fresh Market Ulu,"Keripik Untir-Untir, Sanjai Balado"
87,2024-01-21,Indomart,"Ring, Kerupuk Jengkol, Makaroni"
88,2024-01-25,Farmers PTC,"Kerupuk Udang Mawar, Stick Keju"
89,2024-01-25,Primo PI,"Keripik Pisang, Makaroni"
90,2024-01-25,Hypermart PSX,"Kerupuk Seblak, Keripik Singkong Pedas"
91,2024-01-29,Fresh Market Sekip,"Kerupuk Jengkol, Sanjai Balado"
92,2024-01-29,Fresh Market Ulu,"Kerupuk Udang Melati, Keripik Untir-Untir"
93,2024-01-29,Indomart,"Ring, Makaroni"
94,2024-02-02,Farmers PTC,"Kerupuk Udang Mawar, Stick Keju"
95,2024-02-02,Primo PI,"Keripik Singkong Pedas, Kerupuk Jengkol"
96,2024-02-02,Hypermart PSX,"Kerupuk Ikan, Keripik Pisang"
97,2024-02-06,Fresh Market Sekip,"Kerupuk Udang Melati, Kerupuk Seblak"
98,2024-02-06,Fresh Market Ulu,"Sanjai Balado, Keripik Untir-Untir"
99,2024-02-06,Indomart,"Makaroni, Kerupuk Jengkol"
100,2024-02-10,Farmers PTC,"Keripik Pisang, Stick Keju"
101,2024-02-10,Primo PI,"Kerupuk Ikan, Kerupuk Udang Melati"
102,2024-02-10,Hypermart PSX,"Makaroni, Keripik Singkong Asin"
103,2024-02-14,Fresh Market Sekip,"Kerupuk Udang Mawar, Keripik Singkong Pedas"
104,2024-02-14,Fresh Market Ulu,"Sanjai Balado, Kerupuk Ikan"
105,2024-02-14,Indomart,"Ring, Makaroni"
106,2024-02-18,Farmers PTC,"Keripik Pisang, Stick Keju"
107,2024-02-18,Primo PI,"Kerupuk Ikan, Kerupuk Udang Melati"
108,2024-02-18,Hypermart PSX,"Makaroni, Kerupuk Seblak"
109,2024-02-22,Fresh Market Sekip,"Kerupuk Udang Melati, Keripik Singkong Asin"
110,2024-02-22,Fresh Market Ulu,"Keripik Untir-Untir, Sanjai Balado"
111,2024-02-22,Indomart,"Ring, Kerupuk Jengkol, Makaroni"
112,2024-02-26,Farmers PTC,"Kerupuk Udang Mawar, Stick Keju"
113,2024-02-26,Primo PI,"Keripik Pisang, Makaroni"
114,2024-02-26,Hypermart PSX,"Kerupuk Seblak, Keripik Singkong Pedas"
115,2024-03-02,Fresh Market Sekip,"Kerupuk Jengkol, Makaroni"
116,2024-03-02,Fresh Market Ulu,"Kerupuk Udang Melati, Keripik Untir-Untir"
117,2024-03-02,Indomart,Makaroni
118,2024-03-06,Farmers PTC,"Kerupuk Udang Mawar, Stick Keju"
119,2024-03-06,Primo PI,"Keripik Singkong Pedas, Kerupuk Jengkol"
120,2024-03-06,Hypermart PSX,"Kerupuk Ikan, Keripik Pisang"
121,2024-03-10,Fresh Market Sekip,"Kerupuk Udang Melati, Kerupuk Seblak"
122,2024-03-10,Fresh Market Ulu,"Sanjai Balado, Keripik Untir-Untir"
123,2024-03-10,Indomart,"Ring, Kerupuk Jengkol"
124,2024-03-14,Farmers PTC,"Keripik Pisang, Stick Keju"
125,2024-03-14,Primo PI,"Kerupuk Ikan, Kerupuk Udang Melati"
126,2024-03-14,Hypermart PSX,"Makaroni, Keripik Singkong Asin"
127,2024-03-18,Fresh Market Sekip,"Kerupuk Udang Mawar, Keripik Singkong Pedas"
128,2024-03-18,Fresh Market Ulu,"Sanjai Balado, Kerupuk Ikan"
129,2024-03-18,Indomart,"Kerupuk Jengkol, Ring"
130,2024-03-22,Farmers PTC,"Keripik Pisang, Stick Keju"
131,2024-03-22,Primo PI,"Kerupuk Ikan, Kerupuk Udang Melati"
132,2024-03-22,Hypermart PSX,"Makaroni, Kerupuk Seblak"
133,2024-03-26,Fresh Market Sekip,"Kerupuk Udang Melati, Keripik Singkong Asin"
134,2024-03-26,Fresh Market Ulu,"Keripik Untir-Untir, Sanjai Balado"
135,2024-03-26,Indomart,Kerupuk Jengkol
136,2024-03-30,Farmers PTC,"Kerupuk Udang Mawar, Stick Keju"
137,2024-03-30,Primo PI,"Keripik Pisang, Makaroni"
138,2024-03-30,Hypermart PSX,"Kerupuk Seblak, Keripik Singkong Pedas"
139,2024-04-03,Fresh Market Sekip,"Kerupuk Jengkol, Sanjai Balado"
140,2024-04-03,Fresh Market Ulu,"Kerupuk Udang Melati, Keripik Untir-Untir"
141,2024-04-03,Indomart,"Sanjai Balado, Kerupuk Jengkol, Ring"
142,2024-04-07,Farmers PTC,"Kerupuk Udang Mawar, Stick Keju"
143,2024-04-07,Primo PI,"Keripik Singkong Pedas, Kerupuk Jengkol"
144,2024-04-07,Hypermart PSX,"Kerupuk Ikan, Keripik Pisang"
145,2024-04-11,Farmers PTC,"Kerupuk Udang Melati, Keripik Pisang, Makaroni, Kerupuk Jengkol, Stick Keju"
146,2024-04-11,Primo PI,"Kerupuk Ikan, Keripik Singkong Pedas, Kerupuk Udang Mawar, Sanjai Balado, Keripik Untir-Untir"
147,2024-04-11,Hypermart PSX,"Keripik Pisang, Makaroni, Kerupuk Jengkol, Kerupuk Ikan, Kerupuk Udang Melati"
148,2024-04-11,Fresh Market Sekip,"Kerupuk Seblak, Kerupuk Udang Melati, Stick Keju, Keripik Singkong Pedas, Kerupuk Ikan"
149,2024-04-11,Fresh Market Ulu,"Sanjai Balado, Keripik Untir-Untir, Kerupuk Jengkol, Kerupuk Udang Mawar, Makaroni"
150,2024-04-15,Farmers PTC,"Kerupuk Jengkol, Keripik Pisang, Stick Keju, Kerupuk Ikan, Kerupuk Seblak"
151,2024-04-15,Primo PI,"Kerupuk Udang Melati, Keripik Singkong Pedas, Sanjai Balado, Makaroni, Kerupuk Udang Mawar"
152,2024-04-15,Hypermart PSX,"Kerupuk Udang Melati, Keripik Pisang, Kerupuk Jengkol, Stick Keju, Keripik Singkong Asin"
153,2024-04-15,Fresh Market Sekip,"Kerupuk Ikan, Kerupuk Udang Mawar, Makaroni, Sanjai Balado, Keripik Untir-Untir"
154,2024-04-15,Fresh Market Ulu,"Kerupuk Seblak, Keripik Singkong Pedas, Kerupuk Jengkol, Kerupuk Ikan, Stick Keju"
155,2024-04-19,Farmers PTC,"Kerupuk Ikan, Keripik Pisang, Makaroni, Stick Keju, Kerupuk Udang Melati"
156,2024-04-19,Primo PI,"Sanjai Balado, Kerupuk Udang Mawar, Keripik Singkong Pedas, Kerupuk Jengkol, Kerupuk Seblak"
157,2024-04-19,Hypermart PSX,"Keripik Untir-Untir, Makaroni, Kerupuk Ikan, Stick Keju, Kerupuk Jengkol"
158,2024-04-19,Fresh Market Sekip,"Kerupuk Udang Melati, Keripik Singkong Pedas, Sanjai Balado, Kerupuk Udang Mawar, Keripik Pisang"
159,2024-04-19,Fresh Market Ulu,"Kerupuk Seblak, Kerupuk Ikan, Stick Keju, Makaroni, Keripik Untir-Untir"
160,2024-04-23,Farmers PTC,"Keripik Singkong Pedas, Kerupuk Udang Mawar, Stick Keju, Kerupuk Ikan, Kerupuk Jengkol"
161,2024-04-23,Primo PI,"Makaroni, Kerupuk Seblak, Keripik Pisang, Sanjai Balado, Keripik Untir-Untir"
162,2024-04-23,Hypermart PSX,"Kerupuk Jengkol, Kerupuk Udang Melati, Makaroni, Stick Keju, Kerupuk Ikan"
163,2024-04-23,Fresh Market Sekip,"Kerupuk Udang Melati, Keripik Singkong Pedas, Kerupuk Seblak, Sanjai Balado, Kerupuk Udang Mawar"
164,2024-04-23,Fresh Market Ulu,"Kerupuk Ikan, Stick Keju, Makaroni, Keripik Pisang, Kerupuk Jengkol"
165,2024-04-27,Farmers PTC,"Kerupuk Udang Melati, Makaroni, Stick Keju, Kerupuk Ikan, Keripik Singkong Pedas"
166,2024-04-27,Primo PI,"Keripik Pisang, Kerupuk Udang Mawar, Kerupuk Jengkol, Sanjai Balado, Kerupuk Seblak"
167,2024-04-27,Hypermart PSX,"Kerupuk Ikan, Stick Keju, Makaroni, Keripik Singkong Asin, Keripik Untir-Untir"
168,2024-04-27,Fresh Market Sekip,"Kerupuk Jengkol, Kerupuk Udang Melati, Keripik Singkong Pedas, Kerupuk Seblak, Sanjai Balado"
169,2024-04-27,Fresh Market Ulu,"Kerupuk Ikan, Keripik Pisang, Stick Keju, Makaroni, Kerupuk Jengkol"
170,2024-05-01,Farmers PTC,"Kerupuk Udang Mawar, Makaroni, Stick Keju, Kerupuk Ikan, Keripik Singkong Pedas"
171,2024-05-01,Primo PI,"Keripik Pisang, Kerupuk Jengkol, Sanjai Balado, Kerupuk Udang Melati, Kerupuk Seblak"
172,2024-05-01,Hypermart PSX,"Kerupuk Jengkol, Kerupuk Udang Melati, Stick Keju, Makaroni, Keripik Singkong Asin"
173,2024-05-01,Fresh Market Sekip,"Kerupuk Ikan, Stick Keju, Keripik Singkong Pedas, Sanjai Balado, Kerupuk Udang Mawar"
174,2024-05-01,Fresh Market Ulu,"Kerupuk Udang Melati, Makaroni, Kerupuk Ikan, Keripik Pisang, Kerupuk Seblak"
175,2024-05-05,Farmers PTC,"Kerupuk Udang Melati, Keripik Pisang, Stick Keju, Kerupuk Jengkol, Makaroni"
176,2024-05-05,Primo PI,"Kerupuk Ikan, Keripik Singkong Pedas, Kerupuk Udang Mawar, Sanjai Balado, Keripik Untir-Untir"
177,2024-05-05,Hypermart PSX,"Keripik Pisang, Kerupuk Jengkol, Makaroni, Stick Keju, Kerupuk Seblak"
178,2024-05-05,Fresh Market Sekip,"Kerupuk Udang Melati, Keripik Singkong Pedas, Sanjai Balado, Kerupuk Ikan, Kerupuk Udang Mawar"
179,2024-05-05,Fresh Market Ulu,"Kerupuk Ikan, Stick Keju, Makaroni, Keripik Pisang, Kerupuk Jengkol"
180,2024-05-09,Farmers PTC,"Kerupuk Jengkol, Keripik Pisang, Stick Keju, Makaroni, Kerupuk Udang Melati"
181,2024-05-09,Primo PI,"Kerupuk Ikan, Keripik Singkong Pedas, Kerupuk Udang Mawar, Sanjai Balado, Keripik Untir-Untir"
182,2024-05-09,Hypermart PSX,"Kerupuk Udang Melati, Keripik Singkong Pedas, Kerupuk Jengkol, Stick Keju, Makaroni"
183,2024-05-09,Fresh Market Sekip,"Kerupuk Ikan, Sanjai Balado, Keripik Pisang, Kerupuk Udang Mawar, Kerupuk Seblak"
184,2024-05-09,Fresh Market Ulu,"Makaroni, Kerupuk Udang Melati, Stick Keju, Keripik Singkong Pedas, Kerupuk Jengkol"
185,2024-05-13,Farmers PTC,"Kerupuk Udang Mawar, Stick Keju, Makaroni, Keripik Pisang, Kerupuk Jengkol"
186,2024-05-13,Primo PI,"Keripik Singkong Pedas, Kerupuk Jengkol, Sanjai Balado, Kerupuk Udang Melati, Kerupuk Ikan"
187,2024-05-13,Hypermart PSX,"Kerupuk Jengkol, Kerupuk Ikan, Stick Keju, Makaroni, Keripik Pisang"
188,2024-05-13,Fresh Market Sekip,"Kerupuk Udang Melati, Keripik Singkong Pedas, Kerupuk Jengkol, Sanjai Balado, Kerupuk Udang Mawar"
189,2024-05-13,Fresh Market Ulu,"Makaroni, Kerupuk Udang Melati, Stick Keju, Keripik Pisang, Kerupuk Ikan"
190,2024-05-17,Farmers PTC,"Kerupuk Jengkol, Kerupuk Udang Melati, Keripik Singkong Pedas, Makaroni, Stick Keju"
191,2024-05-17,Primo PI,"Keripik Pisang, Sanjai Balado, Kerupuk Ikan, Kerupuk Udang Mawar, Kerupuk Seblak"
192,2024-05-17,Hypermart PSX,"Makaroni, Kerupuk Udang Melati, Stick Keju, Kerupuk Jengkol, Keripik Singkong Asin"
193,2024-05-17,Fresh Market Sekip,"Kerupuk Udang Melati, Keripik Singkong Pedas, Kerupuk Jengkol, Sanjai Balado, Kerupuk Ikan"
194,2024-05-17,Fresh Market Ulu,"Kerupuk Ikan, Stick Keju, Makaroni, Keripik Pisang, Kerupuk Udang Mawar"
195,2024-05-21,Farmers PTC,"Kerupuk Udang Melati, Keripik Singkong Pedas, Stick Keju, Kerupuk Jengkol, Makaroni"
196,2024-05-21,Primo PI,"Kerupuk Ikan, Keripik Pisang, Sanjai Balado, Kerupuk Udang Mawar, Kerupuk Seblak"
197,2024-05-21,Hypermart PSX,"Kerupuk Jengkol, Makaroni, Stick Keju, Keripik Singkong Asin, Kerupuk Udang Melati"
198,2024-05-21,Fresh Market Sekip,"Kerupuk Udang Mawar, Keripik Singkong Pedas, Sanjai Balado, Kerupuk Ikan, Kerupuk Jengkol"
199,2024-05-21,Fresh Market Ulu,"Makaroni, Stick Keju, Kerupuk Udang Melati, Keripik Pisang, Kerupuk Jengkol"
200,2024-05-25,Farmers PTC,"Kerupuk Jengkol, Kerupuk Udang Melati, Keripik Singkong Pedas, Makaroni, Stick Keju"
212,2023-10-01,Farmers PTC,"Kerupuk Udang Melati, Keripik Pisang"
213,2023-10-01,Primo PI,"Kerupuk Jengkol, Stick Keju"
214,2023-10-01,Hypermart PSX,"Keripik Singkong Pedas, Kerupuk Ikan"
215,2023-10-05,Fresh Market Sekip,"Kerupuk Udang Mawar, Makaroni"
216,2023-10-05,Fresh Market Ulu,"Keripik Untir-Untir, Sanjai Balado"
217,2023-10-05,Indomart,"Ring, Kerupuk Jengkol, Makaroni"
218,2023-10-09,Farmers PTC,"Keripik Pisang, Stick Keju"
219,2023-10-09,Primo PI,"Kerupuk Seblak, Kerupuk Udang Melati"
220,2023-10-09,Hypermart PSX,"Makaroni, Keripik Singkong Asin"
221,2023-10-13,Fresh Market Sekip,"Kerupuk Udang Mawar, Keripik Singkong Pedas"
222,2023-10-13,Fresh Market Ulu,"Sanjai Balado, Kerupuk Ikan"
223,2023-10-13,Indomart,"Makaroni, Ring"
224,2023-10-17,Farmers PTC,"Keripik Pisang, Stick Keju"
225,2023-10-17,Primo PI,"Kerupuk Ikan, Kerupuk Udang Melati"
226,2023-10-17,Hypermart PSX,"Makaroni, Kerupuk Seblak"
227,2023-10-21,Fresh Market Sekip,"Kerupuk Udang Melati, Keripik Singkong Asin"
228,2023-10-21,Fresh Market Ulu,"Keripik Untir-Untir, Sanjai Balado"
229,2023-10-21,Indomart,"Ring, Kerupuk Jengkol"
230,2023-10-25,Farmers PTC,"Kerupuk Udang Mawar, Stick Keju"
231,2023-10-25,Primo PI,"Keripik Pisang, Makaroni"
232,2023-10-25,Hypermart PSX,"Kerupuk Seblak, Keripik Singkong Pedas"
233,2023-10-29,Fresh Market Sekip,"Kerupuk Jengkol, Kerupuk Ikan"
234,2023-10-29,Fresh Market Ulu,"Kerupuk Udang Melati, Keripik Untir-Untir"
235,2023-10-29,Indomart,"Ring, Makaroni, Kerupuk Jengkol"
236,2023-11-02,Farmers PTC,"Kerupuk Udang Mawar, Stick Keju"
237,2023-11-02,Primo PI,"Keripik Singkong Pedas, Kerupuk Jengkol"
238,2023-11-02,Hypermart PSX,"Kerupuk Ikan, Keripik Pisang"
239,2023-11-06,Fresh Market Sekip,"Kerupuk Udang Melati, Kerupuk Seblak"
240,2023-11-06,Fresh Market Ulu,"Sanjai Balado, Keripik Untir-Untir"
241,2023-11-06,Indomart,"Makaroni, Kerupuk Jengkol"
242,2023-11-10,Farmers PTC,"Keripik Pisang, Stick Keju"
243,2023-11-10,Primo PI,"Kerupuk Ikan, Kerupuk Udang Melati"
244,2023-11-10,Hypermart PSX,"Makaroni, Keripik Singkong Asin"
245,2023-11-14,Fresh Market Sekip,"Kerupuk Udang Mawar, Keripik Singkong Pedas"
246,2023-11-14,Fresh Market Ulu,"Sanjai Balado, Kerupuk Ikan"
247,2023-11-14,Indomart,"Makaroni, Ring"
248,2023-11-18,Farmers PTC,"Keripik Pisang, Stick Keju"
249,2023-11-18,Primo PI,"Kerupuk Ikan, Kerupuk Udang Melati"
250,2023-11-18,Hypermart PSX,"Makaroni, Kerupuk Jengkol, Ring"
251,2023-11-22,Fresh Market Sekip,"Kerupuk Udang Melati, Keripik Singkong Asin"
252,2023-11-22,Fresh Market Ulu,"Keripik Untir-Untir, Sanjai Balado"
253,2023-11-22,Indomart,"Kerupuk Jengkol, Ring"
254,2023-11-26,Farmers PTC,"Kerupuk Udang Mawar, Stick Keju"
255,2023-11-26,Primo PI,"Keripik Pisang, Makaroni"
256,2023-11-26,Hypermart PSX,"Kerupuk Seblak, Keripik Singkong Pedas"
257,2023-11-30,Fresh Market Sekip,"Kerupuk Jengkol, Kerupuk Udang Melati"
258,2023-11-30,Fresh Market Ulu,"Kerupuk Udang Melati, Keripik Untir-Untir"
259,2023-11-30,Indomart,"Kerupuk Jengkol, Makaroni"
260,2023-12-04,Farmers PTC,"Kerupuk Udang Mawar, Stick Keju"
261,2023-12-04,Primo PI,"Keripik Singkong Pedas, Kerupuk Jengkol"
262,2023-12-04,Hypermart PSX,"Kerupuk Ikan, Keripik Pisang"
263,2023-12-08,Fresh Market Sekip,"Kerupuk Udang Melati, Kerupuk Seblak"
264,2023-12-08,Fresh Market Ulu,"Sanjai Balado, Keripik Untir-Untir"
265,2023-12-08,Indomart,"Makaroni, Kerupuk Jengkol"
266,2023-12-12,Farmers PTC,"Keripik Pisang, Stick Keju"
267,2023-12-12,Primo PI,"Kerupuk Ikan, Kerupuk Udang Melati"
268,2023-12-12,Hypermart PSX,"Makaroni, Keripik Singkong Asin"
269,2023-12-16,Fresh Market Sekip,"Kerupuk Udang Mawar, Keripik Singkong Pedas"
270,2023-12-16,Fresh Market Ulu,"Sanjai Balado, Kerupuk Ikan"
271,2023-12-16,Indomart,"Kerupuk Jengkol, Ring, Makaroni"
272,2023-12-20,Farmers PTC,"Keripik Pisang, Stick Keju"
273,2023-12-20,Primo PI,"Kerupuk Ikan, Kerupuk Udang Melati"
274,2023-12-20,Hypermart PSX,"Makaroni, Kerupuk Seblak"
275,2023-12-24,Fresh Market Sekip,"Kerupuk Udang Melati, Keripik Singkong Asin"
276,2023-12-24,Fresh Market Ulu,"Keripik Untir-Untir, Sanjai Balado"
277,2023-12-24,Indomart,"Ring, Kerupuk Jengkol"
278,2023-12-28,Farmers PTC,"Kerupuk Udang Mawar, Stick Keju"
279,2023-12-28,Primo PI,"Keripik Pisang, Makaroni"
280,2023-12-28,Hypermart PSX,"Kerupuk Seblak, Keripik Singkong Pedas"
281,2024-01-01,Farmers PTC,"Kerupuk Udang Melati, Keripik Pisang"
282,2024-01-01,Primo PI,"Kerupuk Jengkol, Stick Keju"
283,2024-01-01,Hypermart PSX,"Keripik Singkong Pedas, Kerupuk Ikan"
284,2024-01-05,Fresh Market Sekip,"Kerupuk Udang Mawar, Makaroni"
285,2024-01-05,Fresh Market Ulu,"Keripik Untir-Untir, Sanjai Balado"
286,2024-01-05,Indomart,"Makaroni, Ring"
287,2024-01-09,Farmers PTC,"Keripik Pisang, Stick Keju"
288,2024-01-09,Primo PI,"Kerupuk Seblak, Kerupuk Udang Melati"
289,2024-01-09,Hypermart PSX,"Makaroni, Keripik Singkong Asin"
290,2024-01-13,Fresh Market Sekip,"Kerupuk Udang Mawar, Keripik Singkong Pedas"
291,2024-01-13,Fresh Market Ulu,"Sanjai Balado, Kerupuk Ikan"
292,2024-01-13,Indomart,"Kerupuk Jengkol, Ring, Makaroni"
293,2024-01-17,Farmers PTC,"Keripik Pisang, Stick Keju"
294,2024-01-17,Primo PI,"Kerupuk Ikan, Kerupuk Udang Melati"
295,2024-01-17,Hypermart PSX,"Makaroni, Kerupuk Seblak"
296,2024-01-21,Fresh Market Sekip,"Kerupuk Udang Melati, Keripik Singkong Asin"
297,2024-01-21,Fresh Market Ulu,"Keripik Untir-Untir, Sanjai Balado"
298,2024-01-21,Indomart,"Ring, Kerupuk Jengkol, Makaroni"
299,2024-01-25,Farmers PTC,"Kerupuk Udang Mawar, Stick Keju"
300,2024-01-25,Primo PI,"Keripik Pisang, Makaroni"
301,2024-01-25,Hypermart PSX,"Kerupuk Seblak, Keripik Singkong Pedas"
302,2024-01-29,Fresh Market Sekip,"Kerupuk Jengkol, Sanjai Balado"
303,2024-01-29,Fresh Market Ulu,"Kerupuk Udang Melati, Keripik Untir-Untir"
304,2024-01-29,Indomart,"Ring, Makaroni"
305,2024-02-02,Farmers PTC,"Kerupuk Udang Mawar, Stick Keju"
306,2024-02-02,Primo PI,"Keripik Singkong Pedas, Kerupuk Jengkol"
307,2024-02-02,Hypermart PSX,"Kerupuk Ikan, Keripik Pisang"
308,2024-02-06,Fresh Market Sekip,"Kerupuk Udang Melati, Kerupuk Seblak"
309,2024-02-06,Fresh Market Ulu,"Sanjai Balado, Keripik Untir-Untir"
310,2024-02-06,Indomart,"Makaroni, Kerupuk Jengkol"
311,2024-02-10,Farmers PTC,"Keripik Pisang, Stick Keju"
312,2024-02-10,Primo PI,"Kerupuk Ikan, Kerupuk Udang Melati"
313,2024-02-10,Hypermart PSX,"Makaroni, Keripik Singkong Asin"
314,2024-02-14,Fresh Market Sekip,"Kerupuk Udang Mawar, Keripik Singkong Pedas"
315,2024-02-14,Fresh Market Ulu,"Sanjai Balado, Kerupuk Ikan"
316,2024-02-14,Indomart,"Ring, Makaroni"
317,2024-02-18,Farmers PTC,"Keripik Pisang, Stick Keju"
